"Freq"	"S22 magnitude"			"S22 phase"		
16.434375	2.516E-02	1.145E-03	3.610E-04	-100.648	-40.201	9.429
16.443750	2.741E-02	1.088E-03	5.948E-04	-103.424	-119.349	119.062
16.453125	2.982E-02	5.364E-04	1.125E-03	-107.497	87.424	94.353
16.462500	3.165E-02	1.323E-04	6.778E-04	-110.990	89.497	11.949
16.471875	3.528E-02	1.524E-03	1.732E-04	-112.396	92.456	-165.624
16.481250	3.851E-02	6.338E-04	7.017E-04	-116.386	18.885	161.867
16.490625	4.231E-02	8.604E-04	6.105E-04	-120.894	133.687	0.999
16.500000	4.694E-02	1.081E-03	5.785E-04	-125.119	-128.02	-133.451
16.509375	4.915E-02	2.996E-04	4.240E-04	-132.082	-166.154	-88.811
16.518750	5.007E-02	8.286E-04	2.394E-04	-136.194	-124.057	-91.624
16.528125	4.973E-02	4.209E-04	4.980E-04	-139.694	97.04	-100.351
16.537500	5.047E-02	1.477E-03	3.644E-04	-139.879	-102.044	56.197
16.546875	5.241E-02	1.014E-03	7.428E-04	-140.162	-23.504	-51.033
16.556250	5.688E-02	4.562E-04	1.795E-04	-139.814	-159.159	79.577
16.565625	6.156E-02	7.783E-04	2.848E-04	-139.775	89.143	51.01
16.575000	6.963E-02	1.396E-03	4.170E-04	-142.970	28.211	-2.201
16.584375	7.856E-02	9.070E-05	5.689E-04	-146.666	-164.112	53.159
16.593750	8.943E-02	1.073E-03	1.224E-03	-151.613	66.115	42
16.603125	9.795E-02	6.735E-04	5.518E-04	-158.180	177.181	33.497
16.612500	1.037E-01	1.463E-03	7.440E-04	-164.314	-176.003	138.539
16.621875	1.065E-01	2.011E-03	3.750E-04	-169.681	179.994	56.488
16.631250	1.083E-01	5.773E-04	4.519E-04	-172.847	-70.18	-139.774
16.640625	1.143E-01	6.526E-04	8.116E-04	-174.268	-173.426	-135.242
16.650000	1.208E-01	1.469E-03	6.907E-04	-176.230	-123.95	-86.11
16.659375	1.326E-01	9.207E-04	9.168E-04	-177.217	-85.506	-47.162
16.668750	1.458E-01	5.938E-04	4.906E-04	179.263	-112.143	-87.658
16.678125	1.629E-01	2.400E-03	7.443E-04	174.686	-38.807	-36.604
16.687500	1.776E-01	1.228E-03	7.997E-04	168.689	40.892	-1.768
16.696875	1.901E-01	5.444E-04	6.516E-04	162.934	40.821	-103.244
16.706250	1.998E-01	7.485E-04	1.090E-03	157.389	-32.168	44.919
16.715625	2.068E-01	1.223E-03	3.135E-04	153.212	45.335	118.654
16.725000	2.176E-01	1.947E-03	1.157E-04	150.633	72.009	-2.771
16.734375	2.353E-01	1.222E-04	9.216E-04	148.525	98.798	156.332
16.743750	2.608E-01	1.604E-03	9.037E-04	145.940	122.453	124.76
16.753125	2.907E-01	7.284E-04	4.263E-04	141.952	37.905	135.452
16.762500	3.248E-01	1.481E-03	8.143E-04	136.418	162.125	-166.066
16.771875	3.538E-01	7.008E-04	3.488E-04	129.894	-153.59	-126.243
16.781250	3.754E-01	5.504E-04	4.731E-04	123.465	-166.161	-164.478
16.790625	3.909E-01	1.730E-03	2.270E-04	118.506	169.042	-107.362
16.800000	4.137E-01	7.379E-04	5.396E-04	115.292	-56.29	-179.211
16.809375	4.536E-01	1.255E-03	2.056E-04	112.600	-77.953	17.558
16.818750	5.136E-01	5.463E-04	6.088E-04	108.838	17.858	27.531
16.828125	5.892E-01	8.189E-04	1.341E-04	103.224	-51.002	75.074
16.837500	6.744E-01	7.890E-04	1.082E-04	95.754	29.501	85.992
16.846875	7.601E-01	7.654E-04	1.643E-04	86.926	-78.853	-62.747
16.856250	8.404E-01	1.270E-03	7.206E-04	77.173	109.613	115.977
16.865625	9.060E-01	4.574E-04	3.284E-04	67.040	130.49	-167.344
16.875000	9.603E-01	7.750E-04	5.852E-04	56.827	158.346	143.208
16.884375	9.967E-01	6.896E-04	7.321E-04	46.744	173.154	-153.39
16.893750	1.019E+00	8.122E-04	1.107E-03	36.931	-152.625	-150.716
16.903125	1.027E+00	1.045E-03	8.158E-05	27.748	36.849	8.64
16.912500	1.027E+00	1.201E-03	8.912E-04	19.192	-169.832	-143.196
16.921875	1.023E+00	1.233E-03	4.839E-04	11.199	-35.317	-10.136
16.931250	1.014E+00	2.940E-04	5.381E-04	3.844	-83.436	-9.534
16.940625	1.006E+00	1.010E-03	8.846E-04	-2.949	-82.881	5.37
16.950000	1.000E+00	5.702E-04	3.158E-04	-9.391	-111.892	179.605
16.959375	9.962E-01	4.829E-04	5.199E-04	-15.484	-102.528	-73.292
16.968750	9.954E-01	3.450E-04	2.176E-04	-21.357	31.502	73.763
16.978125	9.945E-01	3.569E-04	4.845E-04	-27.129	-116.633	138.578
16.987500	9.991E-01	7.515E-04	6.175E-05	-32.720	171.621	-118.51
16.996875	1.003E+00	1.155E-03	3.023E-04	-38.090	108.458	128.569
17.006250	1.011E+00	8.400E-04	8.944E-04	-43.450	124.287	110.663
17.015625	1.020E+00	4.597E-04	2.270E-04	-48.714	-119.853	4.582
17.025000	1.031E+00	4.259E-04	3.310E-04	-53.999	-165.547	49.203
17.034375	1.044E+00	2.445E-04	4.999E-04	-59.218	-170.557	-88.667
17.043750	1.059E+00	4.749E-04	5.058E-04	-64.413	-129.661	-136.627
17.053125	1.080E+00	6.588E-04	7.366E-04	-69.693	-121.567	-142.164
17.062500	1.103E+00	1.413E-03	1.672E-04	-75.124	-144.506	144.902
17.071875	1.125E+00	9.316E-04	1.253E-04	-81.035	-51.753	3.005
17.081250	1.149E+00	4.682E-04	5.594E-04	-87.168	-17.708	166.298
17.090625	1.166E+00	7.458E-04	4.870E-04	-93.664	-1.358	156.458
17.100000	1.177E+00	9.996E-04	8.120E-04	-100.422	59.564	109.628
17.109375	1.176E+00	6.860E-04	4.480E-04	-107.147	55.066	83.723
17.118750	1.165E+00	1.212E-03	8.312E-04	-113.712	50.637	126.647
17.128125	1.146E+00	5.494E-04	8.569E-04	-119.932	111.043	134.816
17.137500	1.117E+00	2.656E-04	4.999E-04	-125.675	-9.976	63.123
17.146875	1.091E+00	3.856E-04	9.320E-04	-130.763	-158.485	146.237
17.156250	1.069E+00	6.207E-04	7.863E-04	-135.319	126.341	-152.741
17.165625	1.055E+00	6.038E-04	6.757E-04	-139.543	121.516	104.697
17.175000	1.050E+00	1.048E-03	5.557E-04	-143.762	-160.09	4.002
17.184375	1.047E+00	8.315E-04	6.506E-04	-148.072	150.275	64.256
17.193750	1.050E+00	3.759E-04	2.985E-04	-152.833	-13.921	0.115
17.203125	1.047E+00	1.020E-03	6.432E-04	-157.761	-80.251	-104.281
17.212500	1.041E+00	2.029E-04	3.111E-04	-162.573	-125.766	-150.695
17.221875	1.033E+00	5.346E-04	7.335E-04	-167.413	-71.139	-147.067
17.231250	1.021E+00	5.645E-04	4.339E-04	-171.855	36.924	175.307
17.240625	1.010E+00	9.234E-04	4.925E-04	-176.129	49.959	99.701
17.250000	1.001E+00	7.536E-04	4.109E-04	179.835	57.219	9.728
17.259375	9.964E-01	3.683E-04	4.540E-04	175.982	166.42	-128.32
17.268750	9.938E-01	9.361E-05	6.660E-04	172.040	87.296	88.524
17.278125	9.910E-01	4.870E-04	4.765E-04	168.198	92.386	57.826
17.287500	9.899E-01	4.758E-04	3.111E-04	164.316	114.858	-118.602
17.296875	9.904E-01	3.420E-05	4.176E-04	160.572	139.075	-51.287
17.306250	9.928E-01	1.108E-03	2.813E-04	156.810	138.142	-88.466
17.315625	9.995E-01	7.653E-04	1.751E-04	152.944	167.679	-127.461
17.325000	1.007E+00	3.635E-04	4.783E-04	149.000	-157.179	-88.227
17.334375	1.017E+00	9.947E-05	4.852E-04	144.778	-122.786	-167.716
17.343750	1.023E+00	5.622E-04	4.498E-04	140.424	146.609	-109.071
17.353125	1.026E+00	4.073E-04	9.297E-04	136.141	113.037	76.404
17.362500	1.025E+00	2.217E-04	1.194E-03	132.011	-164.828	-51.096
17.371875	1.023E+00	5.243E-04	8.161E-04	128.238	81.666	130.656
17.381250	1.027E+00	1.917E-04	6.390E-04	124.811	-95.13	20.639
17.390625	1.040E+00	2.113E-04	3.065E-04	121.532	-169.176	-61.864
17.400000	1.061E+00	2.990E-04	1.732E-04	117.894	128.408	117.889
17.409375	1.090E+00	9.311E-04	2.877E-04	113.932	157.18	-60.892
17.418750	1.122E+00	1.226E-03	2.666E-04	109.283	78.472	34.696
17.428125	1.147E+00	5.389E-04	3.392E-04	104.089	70.865	-34.944
17.437500	1.158E+00	2.183E-04	5.992E-04	98.533	-148.265	155.186
17.446875	1.164E+00	7.351E-04	6.251E-04	93.205	135.977	-11.156
17.456250	1.165E+00	9.259E-04	4.116E-05	87.957	144.919	100.421
17.465625	1.164E+00	9.688E-04	1.718E-04	82.884	125.572	116.114
17.475000	1.160E+00	1.774E-04	1.986E-04	77.585	126.023	155.592
17.484375	1.150E+00	6.818E-04	5.954E-04	72.310	-162.386	149.997
17.493750	1.134E+00	6.510E-04	5.386E-04	67.045	134.873	26.661
17.503125	1.107E+00	8.211E-04	8.620E-04	62.090	137.718	34.318
17.512500	1.072E+00	6.461E-04	4.474E-04	57.815	113.293	-42.312
17.521875	1.042E+00	7.120E-04	1.350E-04	54.276	159.073	-96.336
17.531250	1.023E+00	3.440E-04	5.105E-04	51.283	85.477	9.976
17.540625	1.014E+00	1.401E-04	2.657E-04	48.657	87.741	76.044
17.550000	1.019E+00	9.787E-05	5.390E-04	45.759	-38.064	52.864
17.559375	1.032E+00	9.349E-05	7.133E-04	42.436	-16.614	-34.469
17.568750	1.048E+00	5.742E-04	9.282E-04	38.497	83.382	10.208
17.578125	1.060E+00	6.595E-04	2.368E-04	33.970	121.367	66.941
17.587500	1.063E+00	4.616E-05	4.591E-04	29.071	135.847	42.511
17.596875	1.056E+00	8.184E-04	2.541E-04	24.171	113.808	107.671
17.606250	1.039E+00	3.178E-04	3.853E-04	19.634	94.295	175.179
17.615625	1.019E+00	7.499E-04	5.604E-04	15.564	100.245	175.818
17.625000	9.977E-01	1.979E-04	6.282E-04	12.044	112.259	-90.131
17.634375	9.823E-01	7.649E-04	5.075E-04	8.875	133.498	-88.635
17.643750	9.740E-01	4.658E-04	3.043E-04	5.931	120.408	-73.115
17.653125	9.689E-01	8.229E-04	5.720E-04	2.830	67.331	25.3
17.662500	9.673E-01	4.773E-04	1.663E-04	-0.224	103.193	11.827
17.671875	9.675E-01	7.813E-04	5.438E-04	-3.419	92.253	21.632
17.681250	9.688E-01	9.571E-04	2.146E-04	-6.717	69.854	76.613
17.690625	9.717E-01	8.685E-04	2.768E-04	-9.991	84.041	94.522
17.700000	9.754E-01	1.245E-03	4.994E-04	-13.395	101.333	-17.441
17.709375	9.812E-01	1.046E-03	3.317E-04	-16.782	76.281	14.247
17.718750	9.856E-01	1.506E-03	4.308E-04	-20.308	115.322	136.748
17.728125	9.869E-01	1.749E-03	5.213E-04	-23.916	97.553	-1.773
17.737500	9.903E-01	1.003E-03	1.157E-03	-27.324	94.721	-119.649
17.746875	9.917E-01	5.976E-04	8.113E-04	-30.570	94.204	-142.755
17.756250	9.948E-01	1.611E-03	6.031E-04	-33.538	101.048	-161.365
17.765625	1.007E+00	1.004E-03	1.294E-04	-36.401	142.605	151.261
17.775000	1.029E+00	1.412E-03	4.622E-04	-39.377	61.914	-123.848
17.784375	1.060E+00	1.120E-03	3.995E-04	-42.885	70.84	-155.62
17.793750	1.091E+00	6.892E-04	2.912E-04	-47.342	117.498	76.851
17.803125	1.116E+00	1.463E-03	8.352E-04	-52.331	72.971	5.904
17.812500	1.127E+00	1.440E-03	5.323E-04	-57.740	81.837	57.206
17.821875	1.122E+00	2.037E-03	1.590E-04	-63.071	78.736	165.441
17.831250	1.108E+00	1.772E-03	6.114E-04	-68.163	103.467	85.914
17.840625	1.081E+00	2.107E-03	8.641E-04	-72.596	83.899	49.624
17.850000	1.057E+00	1.603E-03	8.416E-04	-76.010	75.264	133.699
17.859375	1.043E+00	2.337E-03	4.225E-04	-78.884	83.011	117.853
17.868750	1.042E+00	2.459E-03	3.721E-04	-81.491	80.262	122.427
17.878125	1.056E+00	1.806E-03	3.921E-04	-84.323	78.175	-136.436
17.887500	1.080E+00	1.962E-03	6.389E-05	-87.771	59.061	91.331
17.896875	1.102E+00	2.375E-03	2.142E-04	-91.998	69.441	140.331
17.906250	1.122E+00	1.295E-03	2.777E-04	-96.519	46.976	-164.597
17.915625	1.129E+00	2.197E-03	4.252E-04	-101.647	78.053	-112.129
17.925000	1.128E+00	2.282E-03	1.309E-04	-106.605	65.918	-64.159
17.934375	1.117E+00	2.536E-03	5.491E-04	-111.663	66.96	-33.332
17.943750	1.103E+00	2.853E-03	3.673E-04	-116.325	56.853	-44.443
17.953125	1.083E+00	2.842E-03	8.040E-04	-120.852	40.395	60.184
17.962500	1.061E+00	3.184E-03	5.078E-04	-124.970	75.359	45.046
17.971875	1.040E+00	2.402E-03	2.174E-04	-128.726	60.17	144.089
17.981250	1.021E+00	3.077E-03	1.005E-03	-132.305	66.553	122.904
17.990625	1.004E+00	3.205E-03	8.363E-05	-135.597	67.455	166.46
18.000000	9.879E-01	3.020E-03	2.944E-04	-138.658	50.76	145.901
18.009375	9.769E-01	3.959E-03	5.468E-04	-141.458	57.431	-156.051
18.018750	9.722E-01	3.740E-03	3.786E-04	-144.334	54.406	6.374
18.028125	9.722E-01	4.217E-03	7.312E-04	-147.359	62.912	-76.493
18.037500	9.719E-01	4.280E-03	3.087E-04	-150.565	45.175	-43.517
18.046875	9.750E-01	4.821E-03	7.572E-04	-153.977	41.446	-113.56
18.056250	9.757E-01	4.958E-03	1.547E-04	-157.536	32.803	-165.136
18.065625	9.742E-01	5.247E-03	2.992E-04	-161.291	33.863	173.902
18.075000	9.692E-01	5.360E-03	6.376E-04	-164.919	35.124	13.277
18.084375	9.624E-01	5.798E-03	2.260E-04	-168.448	42.768	129.1
18.093750	9.575E-01	6.271E-03	2.371E-04	-171.626	35.472	-37.548
18.103125	9.540E-01	5.917E-03	1.383E-04	-174.756	22.411	-154.552
18.112500	9.507E-01	6.571E-03	9.769E-04	-177.812	20.487	131.047
18.121875	9.506E-01	6.739E-03	3.481E-04	179.200	24.768	157.796
18.131250	9.529E-01	7.231E-03	3.786E-04	176.143	19.48	-94.933
18.140625	9.563E-01	6.714E-03	5.105E-04	173.087	17.742	131.421
18.150000	9.609E-01	7.167E-03	1.402E-03	169.889	18.615	-124.04
18.159375	9.667E-01	7.706E-03	8.690E-04	166.578	16.698	-130.236
18.168750	9.723E-01	8.801E-03	7.987E-04	163.232	15.914	135.55
18.178125	9.772E-01	9.230E-03	5.813E-04	159.876	14.516	-151.59
18.187500	9.831E-01	8.951E-03	7.517E-04	156.341	7.889	-39.826
18.196875	9.891E-01	1.024E-02	1.643E-04	152.957	9.736	-97.455
18.206250	9.946E-01	1.035E-02	8.941E-04	149.571	4.013	3.172
